headline_id,text
77d8001d15faf1c3321f5260dea56b6eaed4787d,"Denbury, Penn Virginia Agree to Terminate Merger Agreement"
9e5c60619f111c3146239ccb908bd5569bdf30a5,FelCor Sells Embassy Suites Hotel in Anaheim for $25.5M
29c1756d68406fd20f42683e1e5e7f2bd863d17c,"CF Industries Holdings Q2 EPS $0.63 Beats $0.46 Estimate, Sales $1.3B Beat $1.21B Estimate"
c71bd7cb7a909df2e552dae7929e7523880e7ae0,"Jefferies & Company Maintains Qlik Technologies at Hold, Lowers PT from $24 to $18"
4d9575672ee1f965bc05abeb7e0c6faf9a729ffc,"American Vanguard Reports Q4 EPS $0.10 Vs Est $0.07, Sales $84M Vs Est $81.43M"
e11f48ea1b6d7812e531de7d2386d814811736da,Bank Of America Raises HubSpot Price Target After Positive Channel Checks
c553462c386df89ff66fc1e2bd66dcede818d5af,Wells Fargo Maintains Outperform on BlackRock
b3082f7876618f46709e125003619fae86d71df4,"Jefferies on Healthcare Information Technology: Calls Cerner 'Top Pick,' Shows Concern on athenahealth, Assumes with Underperform"
2e4fb13cb78c56b4be20f714902c2433c7df2bc0,Trimble Navigation Shares Fall as Lazard Downgrades to Neutral
91c2fe63fe63093952ed845649b95b88a09e94b0,"Surgical Care Affiliates, Inc. Announces Appointment of New Director"
2690d261c5bb45e676bed9156e3bbde3de2d35c9,Blackstone to Acquire Dynegy - Analyst Blog
3478e097ae6257ded524579f46dabefb34b36688,"Sirius XM, Citigroup Among Shumway Buys"
470006f5c372b5496df9ee350d0ffde6cc9edd64,Cimarex Expects Production Increase Through 2011
40fd8e932a8f23edae800f6feada60345a376879,Bandera Master Fund Files Proxy Statement And Card To Be Used To Solicit Votes For Election Of Its Slate Director Nominees At Luby's 2019 Annual Meeting
80d7bcbb7b7863af5445f0bd48acb157c0d7ca1d,J.P Morgan Maintains Overweight On City National Corp. Following Earnings
e844237e4fd74344793335282eaf753d496fe8c7,David Einhorn Posts Small Lost In November
94aa9a5195bd1b9b61168ea99a1819db4f97fd09,"Imperial Capital Maintains In-Line On Allegiant Travel, Lowers Price Target To $170"
c357c307aadc51cd876c5c5492e59550c97ab0d5,PetMed Express Announces a $20 Million Share Repurchase Program
003353ddcc2868d01e5f1c122512a959fc3b1a73,"Mid-Afternoon Market Update: Dow Heading Toward All-Time High, Accretive Health Gets Blasted"
8d35c9b2b4f540fd0abfbd462f60485e2cf44561,"Plug Power Shares Up 3.2%, FuelCell Energy Shares Up 2.8%, Ballard Power Shares Up 10.2% Following Word House Republican Tax Bill Includes Provision To Reinstate Fuel Cell Investment Tax Credit"
ab568a4e272c1049967f5a78722f6210dd7582fc,"AVEO Names Michael P. Bailey as President, CEO; Tuan Ha-Ngoc to Become Chairman"
46ddb82880cc9b280e14bc2e3dc28710b0c13962,Option Alert: Sysco Nov $40 Call; 2271 Contract Trade at Ask @$0.45; Now $36.47
906a684f141e42aa6b7545d6c0f5e8c8e5f2876c,"Precision Drilling Reports Q3 EPS $(0.16), Inline, Sales $202M vs $161M Est."
b4d12c1451f08669afc71c65d656532ec2300cf7,NovaGold Amends NovaCopper Articles Prior to Spin-out
05a1a3492498cab20b53d4ee6de8841d3d76b8e8,"Tetraphase Raises Shares in IPO from 6.8M to 8.33M Shares, Lowers Price Range from $10-12 to $8-10/Share"
4871d37347564aebdb94eca16c516fbb15f88762,3 Stocks Set to Spring - Investment Ideas
6a5bfbcc92ca8cd855ed5e79e5df80c328bc6dc9,Earnings Preview for Macy's (M)
f7851e99c35923dc8c9369b2f6030f46d09840e4,"Sterne Agee Downgrades National Penn Bancshares to Underperform, $7 PT"
5900f7205f5229257d87ae764980bf5cb2595f6b,S&P Ups Regions' Rating Outlook - Analyst Blog
8157ace116dae16f03fd11a09134cc4d626aefaa,Micron Analyst Says Lower DRAM Prices Over First Half Of 2020 Will Delay Margin Recovery
66c545b84351ee5c9c66c116e420365ad2c644ae,"Jefferies Maintains Underperform On TripAdvisor As Firm Notes Despite A 25% Decline YTD 'the Co still trades at a premium to better positioned EXPE, while its transition continues to pressure revenue growth'"
40e81f3ebabb365347dd5dcba0e91bd64198ff2f,"Microsoft Takes Legal Action Against Barnes & Noble, Foxconn and Inventec for Patent Infringement by Android Devices"
31065c5fbd3c26769a9deff6d8b08b7e7e896c79,"Antares Pharma Q2 EPS $(0.03) Misses $(0.02) Estimate, Sales $14.162M Beat $13.25M Estimate"
496b25f1164926f8607fa0e24993ccf9819bf44f,"Earnings Scheduled For May 20, 2014"
2b1e0679f3c9a95b264111056431385f3ddd059d,CSC Wins $95 Million Contract
3203963f8921c291c8d103f464a63719b6b7fa5c,"Fang Provides Update on Restructuring, Wanli Assets Have Not Been Sold Or Agreed To Terminate Restructuring"
48765f234f31d7670270e66d2ffc205f5c346b2c,Could Steel Be A Steal?
cfbb3d44a03335ac0ac6c3ee96df5b72462e6ede,"Barclays Initiates Coverage On Johnson Controls International PLC with Equal-Weight Rating, Announces $41.00 Price Target"
8580e3d7fecd2a4b151524d5e10f4bad4aa94bce,Miller Tabak Reinstates Buy on BRF-Brasil Foods S.A.
8c51b3b3ec3d18e89511b09b15c5abf47e19930e,Union Bankshares Reports Q3 EPS $0.45
83df8ca6c58a8c84bbabedfb271f292cb8651668,8-K from Wal Mart Confirms Formation of Strategic Alliance with JD.com
ba07dc07a31af7e2da512da6b56e240538649dd6,OMA Reports 2.7% Increase in September Passenger Traffic
41643cf06004096c3ae5bc8b6b7cb2ec5a4075a3,Where To Invest: Rackspace Struggles Below 45.56 Buy Point
9674323a0db9a230f4358273f6e5e3ae8357c05c,Telefonica Layoff Costs 2.7 Billion Euro - Analyst Blog
88011b21b0d4ee254105110f509e46ad594a2747,"Stifel Downgrades Four Semiconductor Names On Broader Slowdown In Analog, Mixed-Signal Markets"
e38b1960c8983940ae5a3ec73ff94737f033f977,More from the orderboard 9 Oct via ForexLive
072cc4333cc4a69243f6220e5bad5ef85ac74e2c,Susquehanna Downgrades Community Health Systems to Neutral
fb2681cc8c6ac850a84743a18c7d6506a2b32625,MarketAxess Holdings Reports Q3 EPS of $0.48 vs $0.43 Est; Revenue of $61.10M vs $62.87M Est
be3f5026694396946d00bd261b66081dfe34ae83,USD Surges On Rumours Of Discount Rate Hike
146c0768ceffb62aaaf4382c6ec85b52aee38f94,CarMax Down 6.5% After Reporting Q1 Earnings
f981e02aa29370bd95a979e77b05b9f74ea2e8f7,"Argo Group Reports Will Transfer Stock Listing From Nasdaq To NYSE, Will Change Ticker From 'AGII' To 'ARGO,' Effective May 7, 2018"
d7cdbd1d19c3424ea559ed91296412f6ec51b853,Move Lower in Edwards Lifesciences Related to FDA's Decision Not to Hold Panel Review on Medtronic's CoreValve
e24f22ee19a45ceb76f9f6abcbc8dc4ee89f2c0e,Roger Ailes Says Gretchen Carlson's Allegations are False
e05128c1c39c9fcc4de5f8088dcf516931fb263c,"Benchmark Electronics Reports Q3 Adj. EPS $0.39 vs $0.34 Est., Sales $604M vs $585.83M Est."
570ee85fed09afcb3caa9b06ca31ddaf5a0572ea,Jefferies Downgrades Callidus Software to Hold
7184939e22a27bff5c1db67e9170158cc43b188d,Daqo New Energy Announces Two-Year Framework Contract with Leading Solar PV Company
346145ae4c2396a7e5ba8745817777dfcd185f55,Stewart Information Services Corporation Reports Q4 EPS of $0.30 vs $0.26 Est; Revenue of $450.20M vs $483.82M Est
79e2b4e34f1834ceeb0bc2c3f96608b68e8fd0f8,"CoStar Group Reports Expanded Deal With Oxford Economics, No Terms Disclosed"
68edbfc073718ea5b8e70f82a98260db228e89c1,A Focus On Our Moody Sister Semiconductors
62e71a5a60008e0d1b06d0de51d9901231955750,UPDATE: BMO Capital Markets Upgrades Tyson Foods
634640d182e8d68422eb6adb85c2158a90b1f2ab,Option Alert: Steel Dynamics Feb 35.0 Calls: 1520 @ Above Ask! $2.00: 2008 traded vs 1289 OI: Earnings 1/24 After Close $35.62 Ref
f44b30e885996d4ffef54bdbee9f71ca965ec95c,"JMP Securities Upgrades ServiceSource Intl to Market Outperform, Announces $7.00 PT"
23dc09e0d499c99741aadf53b42c6e78527b79b1,"10 Stocks To Watch For June 6, 2017"
60642c5099942e4a55b215ebed947a7cf9563336,"DigiTimes Reports Samsung, Globalfoundries Team Receives 14nm orders from Qualcomm, Apple"
e1f84f1b945f6a1f5d53a59c8f6a8fd08a3e1b94,"Wi-Lan Announce Court Finds Four Patents in Litigation Against Alcatel-Lucent, Ericsson, HTC, Sony Not Infringed"
62aeb1f97bf3beb83dd512cd2ca0257c1f32facc,"Benzinga’s Volume Movers (AMLN, ALKS, FNSR, PEGA, BIDU)"
7e586578035883f209bf77abd6297111b4b71c90,Wells Fargo Downgraded NuVasive from Outperform to Market Perform
3f80210f63b1185bd26f90e710a896480271cde2,"Brean Capital Initiates Coverage on Micron Technology at Buy, Announces $14.00 PT"
02f105523df267de6ab62c652cb8a346de5d8f27,Alibaba A 'Top Pick' Despite Uncertainties
0c63f47981c68ed376575806ad64cf6ffff729ed,Mid-Morning Market Update: Markets Mixed; Dicks Sporting Goods Profit Tops Views
ca68641c37459c2782438f48ba398cae9363f786,"Canadian Solar Reports Its Recurrent Energy Completed Sale Of 150 MWac/210 MWp Mustang Two Solar Project To Solar Frontier Americas, No Terms Disclosed"
73193183997c00a6790ea5260b6c8052f226e8c4,Marrone Bio Innovations Announces GRANDEVO(R) Bioinsecticide Has Received Completeness Determination from The Netherlands
6107b4b4089c51baf605bf5ee1a4558175be0bf7,Hyperion Therapeutics Shares Halted News Pending
5ec88f16048cb899f27971c57744f610f0f712d4,Goldman Sachs Reiterates Buy Rating on Sanderson Farms
c67b08fed475b550c0a6c594bd9ab8b48c63b08f,"Nomura Downgrades Cisco Systems to Neutral, Announces $50"
6a2814674a170b68ef5227de843992e33cfd1df9,McClatchy Company (The) Reports Q3 EPS of $0.08; Revenue of $293.60M
848b0ffbde007ac5880ba069f719106fe65687ed,Athersys Receives FDA Fast Track Designation For Its MultiStem Program For Acute Respiratory Distress Syndrome
53a3eaddc1fc139341efdbfa516560769a242940,Parker Acquires Gulf Coast Seal - Analyst Blog
bf67cb87ce59c80e855efc2988e4354866b72ba0,"Williams-Sonoma Reports Q4 Adj. EPS $1.55 vs $1.58 Est., Sales $1.586B vs $1.62B Est."
6b18a66d5cea7695c1ba3a7091e815ca9af5b7a3,HARMAN to Acquire Software Services Company Symphony Teleca For $780M
199a422e82500fde413c5a5e95b704475095e53d,"Janney Capital Initiates Coverage on priceline.com Incorporated at Neutral, Announces $925.00 PT"
70d1d0d82375ca9e7e9b5d70f4cc47d717e48d2e,"UBS Maintains Neutral on Waters, Lowers Price Target to $200"
bf5e8f6871046ba8751e648514a63e7560aca460,"Medidata Solutions Q4 Adj. EPS $0.45 Beats $0.37 Estimate, Sales $167.2M Miss $167.92M Estimate"
5a5dadf6e7ed7636f29c96dcd493eb34b0d91f6c,Maxim Group Initiates Coverage On AerCap Holdings at Buy
a23a881f4df23e483b4bd8072f962b9f794e3f6e,Harley-Davidson: No Easy Ride
47b3d12e110ff8968485720ebdfc791bd0fa0a58,13G Filing Shows State Street Reporting 7.62% Stake In 3M
a2f048c806191d553479c7038e23b776e756603d,Partner Communications Says Cannot Currently Estimate Damages Which Might Result from Orange CEO Remarks
63db571229ed2b41f090d797b0512ca99c2ea728,"Option Alert: Melco Crown Entertainment March 23 Call; 18,514 Contracts Traded vs 2,079 Open Interest; Currently $20.96"
de239e4a5973658365ce07c64db04e9f226569b8,"Short Interest Swings Home Builder Stocks (NVR, SPF, TPH)"
4f0c5da0d3e25e44dd87ebc78aa3a2e8d1705cd7,Sky-mobi Limited Reports Q2 EPS of $0.34; Revenue of $27.40M
ec13bc7993bf4c268485e0ec59d8387be1f66e57,"Valspar Reports Q3 EPS $1.33 vs. Est. $1.26, Rev. $1.15B vs. Est. $1.17B"
ffa482261960b8d46f0e734d659bc6ef25275d80,Analysts Skeptical On Rackspace Go-Private Chatter
8e64a6294fd58bedfe42c0c0e61ba371c1da61f7,Deutsche Bank Downgrades Smith & Nephew to Hold
56d43cd1f621b08fe4207b74f4ec4a1c013302f8,Annaly Capital Management Announces 75M Share Offering
ebb99fe3169c3ac208560ba0494dbf9056aad4f9,"Horizon Pharma Q2 EPS $0.41 vs $0.10 Est., Sales $289.5M vs $237.0M Est."
81130e6ed3cd0745724efc7e9de450f5f759df28,Emdeon Awarded Subcontract Renewal
d7d1d05b45a4a99bf9eccac41b0880cf98d07022,Cisco and VMware Expand Their Strategic Partnership for Cloud Infrastructure
3089c741ca51888f8ee25651e21c9364135b7479,American Eagle Outfitters (AEO) Slumps with Earnings Set for Release
488027f3d11cc5307e04b55db437793b24de2f88,UPDATE: Caterpillar Says Will Maintain Dividend in Recession
940f47fd86673b9d87559d870f280d4079569af9,UPDATE: Level in Weight Watchers Which Previously Appeared to Show Resistance: $14.75; Shares Up ~1.7% Since Breaking Above That Level
a313b0a4ee4f7c1653b0e03a000e20f3d3d8e3c2,"Keep an Eye on These 12 Stocks for July 19, 2016"
4085d451ff411d893a2eb1f31476f2aabb59f0dc,Rural/Metro Upward Momentum Looks to Continue (RURL)
fbe9824e50caa45a872a104317d263ed3b774080,"UBS Maintains Neutral on AutoNation, Inc., Raises PT to $48.00"
46b91b282c1a42eaf93cc391b24b8f48a2cd604f,"UPDATE: comScore Says Cyber Monday Desktop Spending Hit $2.28B, Up 12%, Mobile Commerce Made Up 27% of Total Digital Commerce"
8cab18ac03372a1ef2669fd993c125a751214ce5,Textura Shares Spike Lower Following Citron Post 'Citron exposes the devastating undisclosed truth of CEO Patrick Allin's bio — and Warns All Investors'
fd308f06b7cf99e760031484a211ea2bbf54ee71,Bank of America Downgrades Spirit Airlines to Hold
40a61d3bc9d6d019083d32d97d7d718a1f5cddb9,Gaps Spikes Higher; Hearing Positive Comments out of RBC
f94fec4c0d5a74f907915e69fa0205770152ee7b,GoPro Shares Rise 3% Premarket
43eb5fe3dd350c2530693ed471a8525f1faaead8,"Standpoint Research Downgrades NetEase, Inc. - American Depositary Shares, each representing 25 ordinary shares to Reduce, Raises Price Target to $360.00"
52dcf19777e921ec9ce99843397662b7aaa80ec4,"CRT Capital Upgrades Verint Systems Inc. to Buy, Announces $46.00 PT"
81f5e6451a19fcd98fcb521edf9f891e34fb2bab,European Commission Gives Okay on Gilead's Tybost for HIV Therapy
dfb440fe39e84acb8ede9ee9ed98d5e0d80d5ebb,"Option Alert: Noble January 2015 40/45 Call Spread; 5,400 Spread Contracts Traded; Currently $38.70"
ef2a2f4f85715ebad03bd0f336e6be8135159617,UPDATE: Trafigura Announces Sale of Majority Stake in Corpus Christi Terminal to Buckeye Partners for $860M
549b05c0f1d4a9e95f4c66ea99142937199ac406,Piper Jaffray Raises PT On Rovi Corporation To $75
f3245756cc3a3e216090466ea387c0549dd58689,"UGI Corporation Elects James B. Stallings, Jr. to Its Board of Directors"
e992809cd48a4f47c6979b6d5c0e2e19b4822f85,Needham Assumes ChannelAdvisor at Buy
9a11d5998b9ff563731482a6a84ba81a12a5e4b5,Tandem Diabetes Shares Up 19.196% After Tuesday Reporting Prelim Q4 and FY18 Sales Above Street Estimates
ec41b203c6759fb05dfa6c21a028f70041891c8f,"Ruby Tuesday, Inc. Reports Q1 EPS of $(0.36) vs $(0.05) Est; Revenue of $289.70M vs $298.59M Est"
7bcc8faf248a45631e5726ccf1eeb8df8d1210db,"Goldman Sachs Downgrades The Buckle To Sell, $35 PT"
0c4de535a2ea8ad8e1739431a0aa104a07252ceb,"Morgan Stanley Downgrades Mallinckrodt PLC to Equal-weight, Removes $63.00 PT"
b9e7bea0b091822de359048fdc29dfbc64593e36,"Nymox Pharmaceutical Corp: Robinson James George (Director) Buys 8,000 @ Avg Price: $3.48 (Form4)"
e95dceaf6e9d7e7a1852900bb2c37d9572a72ad2,Old National Bancorp Reports Q4 EPS $0.27 vs $0.22 Est; Revenues $128.72M vs $124.75M Est
0db82746e0f6538935abe06228f03508fde9cfbc,China Information Technology Announces Appointment of New CFO
02117f6d92ced8a8c4bb9ac8e88fd96b17b97d1c,BZ NOTE: Analysts Had Been Expecting Cat's FY17 EPS $3.25 on Sales of $38.13B
ae812ebaa609ec6fc5fea8ebd1e98cae3aa612ae,"Penns Woods Bancorp, Inc. Q3 EPS $0.82 Up From $0.66 YoY"
ec8139e6284949c901401a1b56536378280252c8,Spokesperson from Yelp Tells Benzinga Co. Does Not 'Comment on Speculation or Rumor'
486641dca702048795ce85473a2c8ac25b75e1d6,eBay Sells StubHub To viagogo For $4.05B
29aeadb291a26dbb9344e3407c093fd28cd79c6e,"DA Davidson Analyst Sonny Randhawa Says Emerge Energy Would Strategically Want To Hold Onto Fuels Business, As It Is Only Cash Flow Positive Business For Emerge; Done To Avoid Default On Loan Covenant"
1877cbd03b94d657edc077d1c423be5f4a16431c,"Santander Consumer Says it Amended its Master Agreement with Chrysler, Says it Will Make a $60M Payment to FCA"
8b50e0154fac50768b82501cb0591d6bfbdf8ccb,Amazon to Miss Q4 Revenues Amid a 15% Rise in U.S. Holiday Sales?
feb9c7198313d5295b2a860239f0664d8c3b1e58,SkyWest Entered Aircraft Purchase Agreements And Capacity Purchase Agreements To Acquire And Fly 15 Additional New Aircraft With Delta Air Lines And 5 Additional New Aircraft With Alaska Airlines; Co. Expects To Invest $161M In Cash To Acquire Aircraft
