headline_id,text,label,mixed,hard,notes
9e5c60619f111c3146239ccb908bd5569bdf30a5,FelCor Sells Embassy Suites Hotel in Anaheim for $25.5M,neutral,0,1,"Asset sale price stated without a gain, comparison, or net value effect."
c71bd7cb7a909df2e552dae7929e7523880e7ae0,"Jefferies & Company Maintains Qlik Technologies at Hold, Lowers PT from $24 to $18",negative,0,0,
4d9575672ee1f965bc05abeb7e0c6faf9a729ffc,"American Vanguard Reports Q4 EPS $0.10 Vs Est $0.07, Sales $84M Vs Est $81.43M",positive,0,0,
e11f48ea1b6d7812e531de7d2386d814811736da,Bank Of America Raises HubSpot Price Target After Positive Channel Checks,positive,0,0,
b3082f7876618f46709e125003619fae86d71df4,"Jefferies on Healthcare Information Technology: Calls Cerner 'Top Pick,' Shows Concern on athenahealth, Assumes with Underperform",neutral,1,0,Bullish Cerner assessment and bearish athenahealth assessment are balanced across subjects.
2e4fb13cb78c56b4be20f714902c2433c7df2bc0,Trimble Navigation Shares Fall as Lazard Downgrades to Neutral,negative,0,0,
91c2fe63fe63093952ed845649b95b88a09e94b0,"Surgical Care Affiliates, Inc. Announces Appointment of New Director",neutral,0,0,
2690d261c5bb45e676bed9156e3bbde3de2d35c9,Blackstone to Acquire Dynegy - Analyst Blog,neutral,0,0,R15b: Blackstone is the acquirer.
470006f5c372b5496df9ee350d0ffde6cc9edd64,Cimarex Expects Production Increase Through 2011,positive,0,0,
40fd8e932a8f23edae800f6feada60345a376879,Bandera Master Fund Files Proxy Statement And Card To Be Used To Solicit Votes For Election Of Its Slate Director Nominees At Luby's 2019 Annual Meeting,neutral,0,0,
80d7bcbb7b7863af5445f0bd48acb157c0d7ca1d,J.P Morgan Maintains Overweight On City National Corp. Following Earnings,positive,0,0,
e844237e4fd74344793335282eaf753d496fe8c7,David Einhorn Posts Small Lost In November,neutral,0,0,R5: Reported loss without expectation or prior-period comparison.
94aa9a5195bd1b9b61168ea99a1819db4f97fd09,"Imperial Capital Maintains In-Line On Allegiant Travel, Lowers Price Target To $170",negative,0,0,
c357c307aadc51cd876c5c5492e59550c97ab0d5,PetMed Express Announces a $20 Million Share Repurchase Program,positive,0,0,
003353ddcc2868d01e5f1c122512a959fc3b1a73,"Mid-Afternoon Market Update: Dow Heading Toward All-Time High, Accretive Health Gets Blasted",neutral,0,0,
8d35c9b2b4f540fd0abfbd462f60485e2cf44561,"Plug Power Shares Up 3.2%, FuelCell Energy Shares Up 2.8%, Ballard Power Shares Up 10.2% Following Word House Republican Tax Bill Includes Provision To Reinstate Fuel Cell Investment Tax Credit",neutral,0,0,R7: Tax credit is in a proposed bill; enactment is not stated.
ab568a4e272c1049967f5a78722f6210dd7582fc,"AVEO Names Michael P. Bailey as President, CEO; Tuan Ha-Ngoc to Become Chairman",neutral,0,0,
46ddb82880cc9b280e14bc2e3dc28710b0c13962,Option Alert: Sysco Nov $40 Call; 2271 Contract Trade at Ask @$0.45; Now $36.47,neutral,0,0,
05a1a3492498cab20b53d4ee6de8841d3d76b8e8,"Tetraphase Raises Shares in IPO from 6.8M to 8.33M Shares, Lowers Price Range from $10-12 to $8-10/Share",negative,0,0,R14: More shares offered and IPO price range lowered.
6a5bfbcc92ca8cd855ed5e79e5df80c328bc6dc9,Earnings Preview for Macy's (M),neutral,0,0,
5900f7205f5229257d87ae764980bf5cb2595f6b,S&P Ups Regions' Rating Outlook - Analyst Blog,positive,0,0,
8157ace116dae16f03fd11a09134cc4d626aefaa,Micron Analyst Says Lower DRAM Prices Over First Half Of 2020 Will Delay Margin Recovery,negative,0,0,
66c545b84351ee5c9c66c116e420365ad2c644ae,"Jefferies Maintains Underperform On TripAdvisor As Firm Notes Despite A 25% Decline YTD 'the Co still trades at a premium to better positioned EXPE, while its transition continues to pressure revenue growth'",negative,0,0,
496b25f1164926f8607fa0e24993ccf9819bf44f,"Earnings Scheduled For May 20, 2014",neutral,0,0,
3203963f8921c291c8d103f464a63719b6b7fa5c,"Fang Provides Update on Restructuring, Wanli Assets Have Not Been Sold Or Agreed To Terminate Restructuring",neutral,0,1,"Restructuring status is clarified, but its equity-value implication is unclear."
48765f234f31d7670270e66d2ffc205f5c346b2c,Could Steel Be A Steal?,neutral,0,0,
cfbb3d44a03335ac0ac6c3ee96df5b72462e6ede,"Barclays Initiates Coverage On Johnson Controls International PLC with Equal-Weight Rating, Announces $41.00 Price Target",neutral,0,0,
8580e3d7fecd2a4b151524d5e10f4bad4aa94bce,Miller Tabak Reinstates Buy on BRF-Brasil Foods S.A.,positive,0,0,
83df8ca6c58a8c84bbabedfb271f292cb8651668,8-K from Wal Mart Confirms Formation of Strategic Alliance with JD.com,neutral,0,0,
ba07dc07a31af7e2da512da6b56e240538649dd6,OMA Reports 2.7% Increase in September Passenger Traffic,positive,0,0,
41643cf06004096c3ae5bc8b6b7cb2ec5a4075a3,Where To Invest: Rackspace Struggles Below 45.56 Buy Point,neutral,0,0,
88011b21b0d4ee254105110f509e46ad594a2747,"Stifel Downgrades Four Semiconductor Names On Broader Slowdown In Analog, Mixed-Signal Markets",negative,0,0,
e38b1960c8983940ae5a3ec73ff94737f033f977,More from the orderboard 9 Oct via ForexLive,unusable,0,0,Orderboard referral contains no intelligible financial event.
072cc4333cc4a69243f6220e5bad5ef85ac74e2c,Susquehanna Downgrades Community Health Systems to Neutral,negative,0,0,
fb2681cc8c6ac850a84743a18c7d6506a2b32625,MarketAxess Holdings Reports Q3 EPS of $0.48 vs $0.43 Est; Revenue of $61.10M vs $62.87M Est,neutral,1,0,EPS beats; revenue misses.
be3f5026694396946d00bd261b66081dfe34ae83,USD Surges On Rumours Of Discount Rate Hike,neutral,0,0,
146c0768ceffb62aaaf4382c6ec85b52aee38f94,CarMax Down 6.5% After Reporting Q1 Earnings,neutral,0,0,
f981e02aa29370bd95a979e77b05b9f74ea2e8f7,"Argo Group Reports Will Transfer Stock Listing From Nasdaq To NYSE, Will Change Ticker From 'AGII' To 'ARGO,' Effective May 7, 2018",neutral,0,0,
d7cdbd1d19c3424ea559ed91296412f6ec51b853,Move Lower in Edwards Lifesciences Related to FDA's Decision Not to Hold Panel Review on Medtronic's CoreValve,neutral,0,1,Competitor's regulatory process changes; impact on Edwards is not established beyond its price move.
e24f22ee19a45ceb76f9f6abcbc8dc4ee89f2c0e,Roger Ailes Says Gretchen Carlson's Allegations are False,negative,0,0,Allegations remain unresolved despite denial.
e05128c1c39c9fcc4de5f8088dcf516931fb263c,"Benchmark Electronics Reports Q3 Adj. EPS $0.39 vs $0.34 Est., Sales $604M vs $585.83M Est.",positive,0,0,
570ee85fed09afcb3caa9b06ca31ddaf5a0572ea,Jefferies Downgrades Callidus Software to Hold,negative,0,0,
7184939e22a27bff5c1db67e9170158cc43b188d,Daqo New Energy Announces Two-Year Framework Contract with Leading Solar PV Company,positive,0,0,
79e2b4e34f1834ceeb0bc2c3f96608b68e8fd0f8,"CoStar Group Reports Expanded Deal With Oxford Economics, No Terms Disclosed",positive,0,0,
68edbfc073718ea5b8e70f82a98260db228e89c1,A Focus On Our Moody Sister Semiconductors,neutral,0,1,Metaphorical sector description provides no clear financial direction.
62e71a5a60008e0d1b06d0de51d9901231955750,UPDATE: BMO Capital Markets Upgrades Tyson Foods,positive,0,0,
f44b30e885996d4ffef54bdbee9f71ca965ec95c,"JMP Securities Upgrades ServiceSource Intl to Market Outperform, Announces $7.00 PT",positive,0,0,
60642c5099942e4a55b215ebed947a7cf9563336,"DigiTimes Reports Samsung, Globalfoundries Team Receives 14nm orders from Qualcomm, Apple",positive,0,0,
e1f84f1b945f6a1f5d53a59c8f6a8fd08a3e1b94,"Wi-Lan Announce Court Finds Four Patents in Litigation Against Alcatel-Lucent, Ericsson, HTC, Sony Not Infringed",negative,0,0,Adverse infringement ruling defeats Wi-Lan's patent claims.
62aeb1f97bf3beb83dd512cd2ca0257c1f32facc,"Benzinga’s Volume Movers (AMLN, ALKS, FNSR, PEGA, BIDU)",neutral,0,0,
7e586578035883f209bf77abd6297111b4b71c90,Wells Fargo Downgraded NuVasive from Outperform to Market Perform,negative,0,0,
02f105523df267de6ab62c652cb8a346de5d8f27,Alibaba A 'Top Pick' Despite Uncertainties,positive,0,0,
0c63f47981c68ed376575806ad64cf6ffff729ed,Mid-Morning Market Update: Markets Mixed; Dicks Sporting Goods Profit Tops Views,positive,0,0,
ca68641c37459c2782438f48ba398cae9363f786,"Canadian Solar Reports Its Recurrent Energy Completed Sale Of 150 MWac/210 MWp Mustang Two Solar Project To Solar Frontier Americas, No Terms Disclosed",neutral,0,1,Project disposal lacks terms or a stated value benefit.
6107b4b4089c51baf605bf5ee1a4558175be0bf7,Hyperion Therapeutics Shares Halted News Pending,neutral,0,0,
5ec88f16048cb899f27971c57744f610f0f712d4,Goldman Sachs Reiterates Buy Rating on Sanderson Farms,positive,0,0,
c67b08fed475b550c0a6c594bd9ab8b48c63b08f,"Nomura Downgrades Cisco Systems to Neutral, Announces $50",negative,0,0,
